cosmology	cmb-planck	systematiclogs/cmb-cosmology/ultranest-safe/
gravitational waves	gravwave-ligo	systematiclogs/ligo/ultranest-fast-fixed4d/
astroparticle	neutrino-icecube	systematiclogs/icecube/ultranest-safe
supernova remnants	crab-gamma	systematiclogs/crab/ultranest/
exoplanets	exo-transient	systematiclogs/transit/ultranest-safe/
exoplanets	exo-rv-0	systematiclogs/exoplanet-rvs_0005.txt-0/ultranest-safe
exoplanets	exo-rv-1	systematiclogs/exoplanet-rvs_0005.txt-1/ultranest-safe
exoplanets	exo-rv-2	systematiclogs/exoplanet-rvs_0005.txt-2/ultranest-fast-fixed4d
exoplanets	exo-rv-3	systematiclogs/exoplanet-rvs_0005.txt-3/ultranest-fast-fixed4d
transients	slsn-LSQ12dlf	systematiclogs/mosfit-LSQ12dlf/ultranest/
transients	magnetar-LSQ12dlf	systematiclogs/mosfit-LSQ12dlf-magnetar/ultranest/
transients	grb-080916C	systematiclogs/grb-2/ultranest/
extragalactic	agn-xray-spectrum	systematiclogs/xrayagnspec/ultranest-safe/
extragalactic	powerlaw-relation	systematiclogs/line/ultranest-safe/
extragalactic	sample-dist-gauss	systematiclogs/posteriorstacker/posteriorstacker-gauss/
extragalactic	sample-dist-hist	systematiclogs/posteriorstacker/posteriorstacker-flex11/
materials	lennard-jones-6	systematiclogs/LJ6/
mock	compton-thick-AGN	systematiclogs/xrayspectrum40-0.01/
mock	multisine-0	systematiclogs/multisine-0comp-2d/ultranest-safe/
mock	multisine-1	systematiclogs/multisine-1comp-5d/ultranest-safe/
mock	multisine-2	systematiclogs/multisine-2comp-8d/ultranest-fast-fixed4d/
mock	multisine-3	systematiclogs/multisine-3comp-11d/ultranest-fast-fixed4d/
toy	asymgauss-4d	systematiclogs/asymgauss-4d/ultranest-safe/
toy	asymgauss-16d	systematiclogs/asymgauss-16d/ultranest-fast-fixed4d/
#toy	asymgauss-100d	systematiclogs/asymgauss-100d/ultranest-fast-fixed4d/
toy	beta-2d	systematiclogs/beta-2d/ultranest-safe/
toy	beta-10d	systematiclogs/beta-10d/ultranest-safe/
toy	beta-30d	systematiclogs/beta-30d/ultranest-fast-fixed4d/
toy	box-5d	systematiclogs/box-5d/ultranest-safe/
